year,month,u10,v10,mx2t,mn2t,tcc,t2,msl,t,q,u,v,z,SPI,grid_ID
1983,1,-1.238007883,0.297630062,308.2184104,295.6100572,0.242644112,301.9186283,101086.6184,298.70395,0.006951601,-3.211511414,-2.768322488,698.0487056,-0.095903455,303
1983,10,0.058343384,0.021665007,303.3985409,289.9528228,0.318079094,296.5808982,101305.6058,294.2182538,0.005289739,-2.051830242,-2.916289595,890.4719081,-0.992119986,303
1983,11,-0.68792114,-0.500207278,302.9044159,291.2717672,0.424219928,297.0675486,101185.5755,294.4833323,0.007651994,-2.846573762,-3.759535797,791.6662587,1.60403833,303
1983,12,-1.738520186,-0.490603538,305.4136766,293.4866146,0.255062514,299.4672271,101161.1537,296.6750882,0.007447726,-3.50635627,-3.661263981,784.7227204,0.352619121,303
1983,2,-1.820590111,-1.087064927,308.7804238,297.2100732,0.272399264,302.90928,101203.7489,300.003491,0.008781543,-3.542160979,-4.212791741,834.8813564,-0.056157303,303
1983,3,-1.564726345,-0.445128369,304.2491042,293.6411881,0.38730443,299.0321823,101415.1968,296.6525022,0.008117337,-3.250555917,-2.720243033,1002.704827,1.049686361,303
1983,4,-1.048766789,0.844208786,297.2949015,287.8008331,0.570026373,292.2627838,101674.4646,290.6605672,0.007592853,-2.53954879,-1.276403347,1222.958608,1.685808888,303
1983,5,-1.165823341,0.555015306,294.1086386,286.1779116,0.504135334,290.0305107,101911.214,289.1953637,0.008363989,-2.436791337,-1.13071621,1421.863986,1.896545033,303
1983,6,-1.235949142,1.070643399,290.2644674,281.0616333,0.359010808,285.5369863,102130.3961,284.6285492,0.006134433,-2.484693863,-0.433415023,1596.777824,0.752544503,303
1983,7,-0.404789778,0.855195504,289.3987131,278.6153673,0.246909162,283.7007279,102203.5106,282.6927992,0.004675006,-1.644347293,-0.775966141,1634.89068,-0.124716942,303
1983,8,-1.210300188,0.507614806,292.9387079,281.2675525,0.21015788,286.7489329,102239.2818,285.5668128,0.005393069,-2.712808251,-1.218327427,1671.020878,0.721756338,303
1983,9,-0.264503518,-0.975052958,300.4864899,287.3274679,0.174520836,293.6919047,101613.2776,292.2426941,0.005798876,-2.007138964,-3.570667316,1151.850655,0.113598866,303
1984,1,-0.942208226,-0.933170772,301.8876422,293.2471756,0.595117181,297.8403291,100913.6885,296.0952493,0.01218394,-2.543245681,-3.608444401,590.3927223,1.553406111,303
1984,10,-1.447249234,-0.137868741,301.4917701,288.8564847,0.295407954,295.095143,101529.8173,291.9281547,0.005362534,-3.281011147,-3.271888621,1053.663668,-0.130868703,303
1984,11,-1.178636429,-0.403704573,305.8991201,292.6034017,0.158128564,299.2898102,101253.1906,295.4977681,0.006035729,-3.090214538,-3.407289839,831.1121836,-0.37719142,303
1984,12,-0.045477604,0.538060212,307.8755641,294.5356898,0.263886542,301.1071679,100503.2669,299.0558245,0.006628231,-2.482735475,-2.610191538,221.119616,0.650863464,303
1984,2,-1.637619984,-0.064951552,304.6146798,293.5383038,0.308022006,299.1239729,101065.3971,297.1181188,0.00974608,-3.122714511,-2.537301216,713.6373933,-0.857322501,303
